,A.1_RfR,A.2_RfR,A.3_RfR,A.4_RfR,A.5_RfR,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,Desired,policy
228,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,228
229,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,229
230,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,230
231,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,231
232,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,232
233,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,233
234,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,234
235,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,235
236,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,236
237,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,237
238,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,238
239,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,239
240,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,240
241,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,241
242,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,242
243,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,243
244,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,244
245,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,245
246,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,246
247,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,247
248,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,248
249,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,249
250,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,250
251,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,251
252,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,252
253,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,253
254,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,254
255,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,255
256,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,256
257,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,257
258,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,258
259,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,259
260,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,260
261,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,261
262,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,262
263,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,263
264,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,264
265,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,265
266,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,266
267,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,267
268,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,268
269,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,269
270,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,270
271,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,271
272,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,272
273,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,273
274,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,274
275,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,275
276,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,276
277,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,277
278,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,278
279,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,279
280,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,280
281,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,281
282,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,282
283,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,283
284,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,284
285,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,285
286,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,286
287,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,287
288,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,288
289,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,289
290,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,290
291,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,291
292,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,292
293,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,293
294,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,294
295,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,295
296,1.0,2.0,0.0,0.0,2.0,18.0,8.0,8.0,7.0,9.0,False,296
